plateID,New Code,Pop Defined,State,State Name,Pop Names,EstuaryLocal,Latitude,Longitude
J06,CHHS29,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,32.75214,-79.89753
J07,MaBH01,Barnstable Harbor,Massachusetts,Massachusetts,Barnstable Harbor,NA,41.70911,-70.30297
J08,BBHS18,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
J09,BRLS16,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
J10,NjRG35,Rutgers,New Jersey,New Jersey,Rutgers,NA,39.07372,-74.91222
J12,VaWA24,Wachapreague,Virginia,Virginia,Wachapreague,NA,37.607754,-75.685962
J13,CHLS25,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.81348,-79.90776
J14,NcFR08,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,35.527953,-77.040036
J15,BRLS01,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
J16,WBHS60,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
J17,WBHS15,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
J18,BRLS14,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
J19,MaWF53,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,41.909405,-69.997144
K02,BBHS27,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
K03,MaBH22,Barnstable Harbor,Massachusetts,Massachusetts,Barnstable Harbor,NA,41.70911,-70.30297
K04,CHHS02,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,32.75214,-79.89753
K06,NjRG34,Rutgers,New Jersey,New Jersey,Rutgers,NA,39.07372,-74.91222
K07,BBHS02,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
K08,VaWA17,Wachapreague,Virginia,Virginia,Wachapreague,NA,37.607754,-75.685962
K09,SHHS07,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,32.34418,-80.46648
K10,FlFP05,Fort Pierce,Fort Pierce,Florida,Fort Pierce,NA,27.4575,-80.306
K11,NcFR01,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,35.527953,-77.040036
K12,SHHS01,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,32.34418,-80.46648
K13,MaWF13,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,41.909405,-69.997144
K14,BRLS09,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
K15,FlSB05,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,29.915834,-84.510613
K16,BRLS12,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
K18,FlSB02,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,29.915834,-84.510613
K19,WBHS16,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
L01,BBHS31,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
L03,WBHS30,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
L04,SHLS28,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,32.50119,-80.67869
L05,CHLS18,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.81348,-79.90776
L06,MaBH20,Barnstable Harbor,Massachusetts,Massachusetts,Barnstable Harbor,NA,41.70911,-70.30297
L07,SHLS03,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,32.50119,-80.67869
L08,FlSB12,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,29.915834,-84.510613
L10,WBHS50,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
L15,BRHS05,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,32.2507,-80.69827
L16,WBHS43,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
L18,SHHS14,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,32.34418,-80.46648
M01,BRLS20,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
M02,NjRG14,Rutgers,New Jersey,New Jersey,Rutgers,NA,39.07372,-74.91222
M03,BRLS06,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
M04,BRHS19,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,32.2507,-80.69827
M05,SHLS32,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,32.50119,-80.67869
M07,NcFR11,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,35.527953,-77.040036
M08,CHHS37,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,32.75214,-79.89753
M09,CHHS52,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,32.75214,-79.89753
M10,NcFR02,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,35.527953,-77.040036
M11,WBHS29,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
