accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue	age	altitude	biomaterial_provider	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	sex	specimen_voucher	temp	description
SAMN41062418	Successfully loaded	BBHS12			Diopatra cuprea	90			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062419	Successfully loaded	BRHS11			Diopatra cuprea	91			estuary	2022	USA:Broad River (Seaward) South Carolina	body														
SAMN41062420	Successfully loaded	SHHS24			Diopatra cuprea	92			estuary	2022	USA:St. Helena (Seaward) South Carolina	body														
SAMN41062421	Successfully loaded	SHLS35			Diopatra cuprea	93			estuary	2022	USA:St. Helena (Landward) South Carolina	body														
SAMN41062422	Successfully loaded	BRLS11			Diopatra cuprea	94			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062423	Successfully loaded	BBHS13			Diopatra cuprea	95			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062424	Successfully loaded	CHLS26			Diopatra cuprea	96			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062425	Successfully loaded	NcFR07			Diopatra cuprea	97			estuary	2012	USA:North River Estuary North Carolina	body														
SAMN41062426	Successfully loaded	SHHS26			Diopatra cuprea	98			estuary	2022	USA:St. Helena (Seaward) South Carolina	body														
SAMN41062427	Successfully loaded	FlAM05			Diopatra cuprea	99			estuary	2009	USA:Amelia Island Florida	body														
SAMN41062428	Successfully loaded	NcMV10			Diopatra cuprea	100			estuary	2012	USA:Mitchells Village North Carolina	body														
SAMN41062429	Successfully loaded	CHLS06			Diopatra cuprea	101			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062430	Successfully loaded	MaWF01			Diopatra cuprea	102			estuary	2012	USA:Wellfleet Massachusetts	body														
SAMN41062431	Successfully loaded	CHHS08			Diopatra cuprea	103			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062432	Successfully loaded	NcMV20			Diopatra cuprea	104			estuary	2012	USA:Mitchells Village North Carolina	body														
SAMN41062433	Successfully loaded	CHLS15			Diopatra cuprea	105			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062434	Successfully loaded	WBHS04			Diopatra cuprea	106			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062435	Successfully loaded	FlFP10			Diopatra cuprea	107			estuary	2009	USA:Fort Pierce Florida	body														
SAMN41062436	Successfully loaded	SHHS02			Diopatra cuprea	108			estuary	2022	USA:St. Helena (Seaward) South Carolina	body														
SAMN41062437	Successfully loaded	NcMV44			Diopatra cuprea	109			estuary	2012	USA:Mitchells Village North Carolina	body														
SAMN41062438	Successfully loaded	CHLS08			Diopatra cuprea	110			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062439	Successfully loaded	SHLS09			Diopatra cuprea	111			estuary	2022	USA:St. Helena (Landward) South Carolina	body														
SAMN41062440	Successfully loaded	FlFP04			Diopatra cuprea	112			estuary	2009	USA:Fort Pierce Florida	body														
SAMN41062441	Successfully loaded	MaWF51			Diopatra cuprea	113			estuary	2012	USA:Wellfleet Massachusetts	body														
SAMN41062442	Successfully loaded	NcMV21			Diopatra cuprea	114			estuary	2012	USA:Mitchells Village North Carolina	body														
SAMN41062443	Successfully loaded	CHLS28			Diopatra cuprea	115			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062444	Successfully loaded	BBHS03			Diopatra cuprea	116			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062445	Successfully loaded	CHLS05			Diopatra cuprea	117			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062446	Successfully loaded	CHHS47			Diopatra cuprea	118			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062447	Successfully loaded	NcFR10			Diopatra cuprea	119			estuary	2012	USA:North River Estuary North Carolina	body														
SAMN41062448	Successfully loaded	SHHS19			Diopatra cuprea	120			estuary	2022	USA:St. Helena (Seaward) South Carolina	body														
SAMN41062449	Successfully loaded	WBHS33			Diopatra cuprea	121			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062450	Successfully loaded	MaWF50			Diopatra cuprea	122			estuary	2012	USA:Wellfleet Massachusetts	body														
SAMN41062451	Successfully loaded	CHLS07			Diopatra cuprea	123			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062452	Successfully loaded	NcMV14			Diopatra cuprea	124			estuary	2012	USA:Mitchells Village North Carolina	body														
SAMN41062453	Successfully loaded	CHHS40			Diopatra cuprea	125			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062454	Successfully loaded	WBHS45			Diopatra cuprea	126			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062455	Successfully loaded	SHHS25			Diopatra cuprea	127			estuary	2022	USA:St. Helena (Seaward) South Carolina	body														
SAMN41062456	Successfully loaded	NcFR06			Diopatra cuprea	128			estuary	2012	USA:North River Estuary North Carolina	body														
SAMN41062457	Successfully loaded	CHHS24			Diopatra cuprea	129			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062458	Successfully loaded	CHHS13			Diopatra cuprea	130			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062459	Successfully loaded	SHHS10			Diopatra cuprea	131			estuary	2022	USA:St. Helena (Seaward) South Carolina	body														
SAMN41062460	Successfully loaded	BRHS16			Diopatra cuprea	132			estuary	2022	USA:Broad River (Seaward) South Carolina	body														
SAMN41062461	Successfully loaded	FlFP09			Diopatra cuprea	133			estuary	2009	USA:Fort Pierce Florida	body														
SAMN41062462	Successfully loaded	CHLS16			Diopatra cuprea	134			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062463	Successfully loaded	FlFP07			Diopatra cuprea	135			estuary	2009	USA:Fort Pierce Florida	body														
SAMN41062464	Successfully loaded	CHHS29			Diopatra cuprea	136			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062465	Successfully loaded	MaBH01			Diopatra cuprea	137			estuary	2009	USA:Barnstable Harbor Massachusetts	body														
SAMN41062466	Successfully loaded	BBHS18			Diopatra cuprea	138			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062467	Successfully loaded	BRLS16			Diopatra cuprea	139			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062468	Successfully loaded	NjRG35			Diopatra cuprea	140			estuary	2009	USA:Rutgers New Jersey	body														
SAMN41062469	Successfully loaded	VaWA24			Diopatra cuprea	141			estuary	2009	USA:Wachapreague Virginia	body														
SAMN41062470	Successfully loaded	CHLS25			Diopatra cuprea	142			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
