plateID,New Code,Pop Defined,State,State Name,Pop Names,EstuaryLocal,mtHaplotype,mtHap Group,mtHap Subgroup
H18,CHHS47,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
H19,NcFR10,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,Hap_2,C,C
H20,SHHS19,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,NA,NA,NA
I04,WBHS33,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
I05,MaWF50,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,NA,NA,NA
I07,CHLS07,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
I08,NcMV14,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,Hap_1,B,B
I09,CHHS40,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
I10,WBHS45,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
I11,SHHS25,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,NA,NA,NA
I12,NcFR06,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,Hap_1,B,B
I13,CHHS24,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
I14,CHHS13,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
I16,SHHS10,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,NA,NA,NA
I18,BRHS16,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,NA,NA,NA
I19,FlFP09,Fort Pierce,Fort Pierce,Florida,Fort Pierce,NA,NA,NA,NA
J01,CHLS16,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
J04,FlFP07,Fort Pierce,Fort Pierce,Florida,Fort Pierce,NA,Hap_13,A,A2
J06,CHHS29,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
J07,MaBH01,Barnstable Harbor,Massachusetts,Massachusetts,Barnstable Harbor,NA,Hap_6,D,D
J08,BBHS18,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
J09,BRLS16,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
J10,NjRG35,Rutgers,New Jersey,New Jersey,Rutgers,NA,NA,NA,NA
J12,VaWA24,Wachapreague,Virginia,Virginia,Wachapreague,NA,Hap_1,B,B
J13,CHLS25,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
J14,NcFR08,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,NA,NA,NA
J15,BRLS01,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
J16,WBHS60,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
J17,WBHS15,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
J18,BRLS14,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
J19,MaWF53,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,Hap_6,D,D
K02,BBHS27,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
K03,MaBH22,Barnstable Harbor,Massachusetts,Massachusetts,Barnstable Harbor,NA,NA,NA,NA
K04,CHHS02,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
K06,NjRG34,Rutgers,New Jersey,New Jersey,Rutgers,NA,NA,NA,NA
K07,BBHS02,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
K08,VaWA17,Wachapreague,Virginia,Virginia,Wachapreague,NA,Hap_19,B,B
K09,SHHS07,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,NA,NA,NA
K10,FlFP05,Fort Pierce,Fort Pierce,Florida,Fort Pierce,NA,Hap_13,A,A2
K11,NcFR01,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,Hap_1,B,B
K12,SHHS01,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,NA,NA,NA
K13,MaWF13,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,NA,NA,NA
K14,BRLS09,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
K15,FlSB05,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,Hap_3,A,A1
K16,BRLS12,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
K18,FlSB02,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,Hap_3,A,A1
K19,WBHS16,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
L01,BBHS31,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
L03,WBHS30,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
L04,SHLS28,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,NA,NA,NA
L05,CHLS18,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
L06,MaBH20,Barnstable Harbor,Massachusetts,Massachusetts,Barnstable Harbor,NA,NA,NA,NA
L07,SHLS03,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,NA,NA,NA
L08,FlSB12,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,NA,NA,NA
L10,WBHS50,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
L15,BRHS05,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,NA,NA,NA
L16,WBHS43,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
L18,SHHS14,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,NA,NA,NA
M01,BRLS20,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
M02,NjRG14,Rutgers,New Jersey,New Jersey,Rutgers,NA,NA,NA,NA
M03,BRLS06,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
M04,BRHS19,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,NA,NA,NA
M05,SHLS32,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,NA,NA,NA
M07,NcFR11,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,NA,NA,NA
M08,CHHS37,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
M09,CHHS52,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
M10,NcFR02,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,NA,NA,NA
M11,WBHS29,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
M12,NcFR04,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,Hap_1,B,B
M16,CHLS24,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
M17,BRHS04,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,NA,NA,NA
N01,SHHS15,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,NA,NA,NA
N02,FlSB01,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,Hap_5,A,A1
N03,VaWA29,Wachapreague,Virginia,Virginia,Wachapreague,NA,Hap_1,B,B
N04,NcMV15,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,Hap_1,B,B
N05,BBHS32,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
N06,MaWF54,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,NA,NA,NA
N07,CHLS13,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
N08,BBHS34,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
N10,VaWA02,Wachapreague,Virginia,Virginia,Wachapreague,NA,Hap_1,B,B
N11,BRLS15,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
